Lender / Program,Category,Source Doc,Min FICO,Allows Zero/No FICO,Min Monthly Income,Min Job Months,Min Residence Months,Max Front-End LTV,Max All-In LTV,Max PTI,Max DTI,Min Amount Financed,Max Amount Financed,Max Monthly Payment,Max Term Months,Max Vehicle Age Years,Max Mileage,Max GAP,Max Warranty/VSC,Max Back-End Total,Allowed States,Clean Title Required?,Commercial/Rideshare Allowed?,EV Allowed?,Self-Employed/1099 Allowed?,Open BK Allowed?,Repo Last 12mo Allowed?,Repo Last 4mo Allowed?,Highline/Exotic Allowed?,POI / Stip Notes,Collateral / Vehicle Notes,General Notes,Source Detail
PFS Platinum,Subprime lender,PFS Platinum Program Rev 5.2024,,Yes,1700,,,,1.5,0.15,0.5,5000,27500,,72,,140000,1000,3000,4000,,Yes,No,No,Yes,Review,Review,Review,Yes,"POI: pay stubs, W2, tax returns, or 3 months bank statements. FT buyer income may require $2,000.","Ineligible: commercial, EV, ride share, delivery, orphaned, lemon law, TMU, gray market, salvage/branded.","All approvals valid 14 days; no recourse; no chargebacks on flats.","pfs / plat pfs PDFs, page 1"
PFS Independent,Subprime lender,PFS Independent Program Rev 5.2024,,Yes,1700,,,,1.5,0.15,0.5,5000,27500,,72,,140000,695,,,,Yes,No,No,Yes,Review,Review,Review,Yes,"POI: pay stubs, W2, tax returns, or 3 months bank statements. Max PFS GAP $695; VSC quoted price.","Ineligible: commercial, EV, ride share, delivery, orphaned, lemon law, TMU, gray market, salvage/branded.","No recourse; no chargebacks on PFS GAP/VSC.","pfs PDFs, page 1"
Prancer Main Independent,Subprime lender,Prancer Independent Dealer Program,500,Review,3000,6,,,,1.1,,,84,11,125000,1250,3000,4250,,Yes,Review,Yes,Review,No,No,Review,Review,"Garnishments reviewed upfront. Insurance premium cannot exceed 10% gross monthly income. POI may be waived under $375 payment program.","Preferred: Honda, Toyota, Mazda, SUVs, pickups, Wranglers. Avoid multiple repos, repo past year, dismissed/open BK.","Analyst discretion; same-day funding; 70/30 participation.","prancer 3 PDFs, page 1"
Prancer $375 POI Waiver,POI waiver program,Prancer $375 Program,,Review,2500,,,,,,375,,,,,AL/FL/GA/IA/IN/KS/KY/MD/MN/MO/MS/NC/NJ/OH/PA/TN/VA/WV,Yes,Review,Yes,Review,No,Review,Review,Yes,"Payment must be $375 or less with valid VOE. W2 full-time only for waiver; self-employed/1099 considered with 3 complete bank statements.","Union/local members and pension/SSI/disability do not qualify for waiver.","Applicant must earn $30,000 annually.","prancer 1/2 PDFs"
OneMain Franchise Program,Near/subprime lender,OneMain Franchise Program Highlights,550,No,,,,1.2,1.4,0.15,0.5,,,75,12,140000,1200,3500,,,Yes,Review,Yes,Review,Review,Review,Review,Yes,"Stips: valid DL, proof of residence, POI if requested.","2014+ vehicles; 2019+ EVs allowed; no frame damage; CARFAX pulled at funding.","Wheelhouse 550+; processing fee as low as $150.","onemaiin PDFs, page 1"
Huntington Retail Auto,Prime/near-prime bank,Huntington Retail Auto Loan Guidelines Rev 11/2024,,No,,,,1.1,1.15,,,7000,,,84,10,,1200,,15000,,Review,Review,Yes,Review,Review,Review,Review,Yes,"GAP not eligible if FE LTV below 70%. VPP limits based on retail value. Used 2024/25 value may require 90%/80% MSRP calc.","New 2024-2025 up to 84; used older years lower terms. NADA/JD Power book sheet required.","Advance guidelines up to 115%. TransUnion FICO Auto Score 8.","hunt2 PDFs, pages 1-2"
Huntington Central Ohio Docs,Funding/support guide,Huntington Dealer Reference Guide,,No,,,,,,,,,,,,,,,,,Review,Review,Yes,Review,Review,Review,Review,Yes,"Not a credit program; use for required documents, lienholder, payoff, funding, missing docs.","Requires title app, invoice or JD/NADA, risk-based pricing notice, signed credit app.","Support/funding reference only; not ranked as true approval path.","hun1 PDFs"
GLS Select/Tier/Advantage,Subprime lender,Global Lending Services Program Guidelines,400,Yes,1800,,,,1.25,1.35,0.24,,7000,55000,,78,12,180000,1200,4000,5200,,Yes,Review,Review,No,No,Review,No,Yes,"Current paystub + utility bill + 3 references funds same day. Self-employed/1099, open bankruptcies, repo in past 4 months to avoid.","FICO 400-700. EV max 6 years/75k miles. No book-to-look requirements.","Approvals as fast as 15 seconds, buyers/funders 6 days a week.","gls PDFs, page 1"
First Bank of Ohio Used Auto/Light Truck,Local bank,FBO Used Automobile & Light Duty Truck Program 1/20/2026,640,Review,,,,,1.05,,,,6000,,,75,15,150000,1200,7000,7500,OH/MI/IN/KY/WV/PA,Yes,Review,Yes,Review,Review,Review,Review,Review,"POI based on base salary/hourly excluding overtime. Valid DL, references, email, home/cell/work phones; 2 years employment/residence history.","No branded/salvage/total loss/airbag/flood/frame damage. Max miles 150k unless exception.","JD Power retail bookout required. Lower scores exception basis only, often 90% max LTV.","fbo3/fbo4 PDFs"
First Bank of Ohio Motorcycle/ATV,Motorcycle/RV lender,FBO Motorcycle & ATV Program 3/1/2025,670,Review,,,,,,,,4000,,,72,13,,,,,OH/MI/IN/KY/WV/PA,Yes,Review,Yes,Review,Review,Review,Review,Review,"Standard stips: valid DL, 1 reference per signer, email, required loan docs.","Motorcycle/ATV sheet. Terms depend on amount financed, tier, and age.","Loan processing fee $295; portal submission required to avoid extra fee.","fbo1/fbo2 PDFs"
FFCCU Auto,Credit union,FFCCU Auto Indirect Guidelines,640,No,,24,,,,1.15,,,,5000,,,72,7,100000,799,2000,3000,OH,Yes,No,Yes,Review,Review,Review,Review,Yes,"Proof of income not needed for scores 640+ with 2+ years current job. Self-employed requires review and 2 years tax returns.","Excluded: 100k+ miles and/or 7 model years old, commercial, salvage.","Back-end not included in LTV; total backend lesser of $3k or 20% MSRP/retail.","ffmc PDFs"
FFCCU New/Used Auto,Credit union,FFCCU New/Used Program 02/15,640,No,,,,,1.15,,,,5000,,,84,,,,,,OH,Yes,No,Yes,Review,Review,Review,Review,Yes,"Self-employed not eligible for automated approval; requires review and two years tax returns.","Commercial and salvage excluded. Max negative equity varies by tier.","Member loyalty discount for existing FFCCU members.","ffau PDFs"
CPS ICON+,Subprime lender,CPS Non-Franchised Program 1/1/2026,,Yes,8000,,,,1.25,1.4,0.2,0.5,5000,75000,,84,15,100000,1200,,10000,,Review,Review,Review,Review,Review,Review,Review,Review,"Basic formula: 115% invoice/book + TTL + doc + service contract/GAP to max advance. Icon+ can use up to 140% LTV.","Vehicle type affects advance/pricing. Max backend for Icon+ noted up to 10% of book/MSRP to $10k.","Hot vehicle program may improve advance/lower fees.","cps PDFs"
CPS Upper Tiers,Subprime lender,CPS Non-Franchised Program 1/1/2026,,Yes,2500,,,,1.3,0.18,0.8,5000,55000,,78,15,150000,1000,3400,4400,,Review,Review,Review,Review,Review,Review,Review,Review,"Minimum income and DTI/PTI vary by credit profile. Regular term 130% LTV; extended term 115%.","Term/mileage: up to 78mo at 60k/65k for upper tiers, lower terms up to 200k.","As low as 14.55% based on credit profile.","cps PDFs"
CPS Mid Tiers,Subprime lender,CPS Non-Franchised Program 1/1/2026,,Yes,1600,,,,1.3,0.18,0.5,5000,45000,,75,15,150000,1000,3400,4400,,Review,Review,Review,Review,Review,Review,Review,Review,"Mid-tier income range shown $1,600-$2,000 depending profile. PTI up to 18%, DTI often 50%.","Up to $45k/$40k max financed depending tier. Down as low as zero based on profile.","Credit fees/assignment fees vary by callback.","cps PDFs"
CPS Lower Tiers,Subprime lender,CPS Non-Franchised Program 1/1/2026,,Yes,1400,,,,1.3,0.15,0.45,5000,35000,,72,15,200000,1000,3400,4400,,Review,Review,Review,Review,Review,Review,Review,Review,"PTI up to 15%, DTI up to 45%; min income $1,400.","Max amount financed often $35k/$30k. Max mileage by term up to 200k for short terms.","Lower tiers more restrictive; review callback.","cps PDFs"
Capital One Executive Diamond,Prime/subprime bank,Capital One Executive Diamond Partner Jan 2026,,Yes,1500,,,,1.3,1.75,0.2,,4000,75000,1200,84,15,200000,1200,7000,8000,,Review,Review,Review,Review,Review,Review,Review,Review,"Income may be verified. NDI minimum $50. $1,000 down may apply for thin/short credit files depending tier.","Vehicle age <=15 years, mileage <=200k. Age >=13 years max term 48. Age <=5 and amount financed >20k may qualify 84.","Check Dealer Navigator callback. Up to 175% for book value <10k.","executive diamond PDF"
